e_sample,target_freq_1,target_freq_2,zeta_1,zeta_2,mass_servo_1,mass_servo_2,mass_pitot,freq_1,freq_2,mean_absolute_error,mean_relative_error,servo_mass_equal,total_mass_correct
1.00775,5.6492,29.9699,0.0281,0.0717,0.1687,0.1687,0.1345,5.6498,28.6152,0.67766,0.02265,1,1
0.99782,5.6492,29.9699,0.0281,0.0717,0.1727,0.1727,0.1266,5.6496,28.5908,0.68971,0.02304,1,1
1.00054,5.6492,29.9699,0.0281,0.0717,0.1716,0.1716,0.1287,5.6498,28.5978,0.68634,0.02294,1,1
1.00682,5.6492,29.9699,0.0281,0.0717,0.1690,0.1690,0.1340,5.6492,28.6110,0.67947,0.02268,1,1
1.00861,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6502,28.6186,0.67615,0.02264,1,1
1.01076,5.6492,29.9699,0.0281,0.0717,0.1674,0.1674,0.1372,5.6492,28.6209,0.67451,0.02251,1,1
1.00887,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6508,28.6210,0.67526,0.02265,1,1
0.99843,5.6492,29.9699,0.0281,0.0717,0.1724,0.1724,0.1271,5.6494,28.5919,0.68913,0.02301,1,1
1.00153,5.6492,29.9699,0.0281,0.0717,0.1711,0.1711,0.1298,5.6490,28.5979,0.68606,0.02290,1,1
1.01685,5.6492,29.9699,0.0281,0.0717,0.1653,0.1653,0.1414,5.6510,28.6421,0.66481,0.02232,1,1
1.00808,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6490,28.6138,0.67812,0.02264,1,1
1.00409,5.6492,29.9699,0.0281,0.0717,0.1701,0.1701,0.1319,5.6489,28.6036,0.68329,0.02282,1,1
1.01070,5.6492,29.9699,0.0281,0.0717,0.1674,0.1674,0.1372,5.6490,28.6204,0.67486,0.02253,1,1
1.01691,5.6492,29.9699,0.0281,0.0717,0.1653,0.1653,0.1414,5.6512,28.6427,0.66459,0.02232,1,1
0.99286,5.6492,29.9699,0.0281,0.0717,0.1748,0.1748,0.1224,5.6502,28.5818,0.69456,0.02325,1,1
0.99872,5.6492,29.9699,0.0281,0.0717,0.1722,0.1722,0.1277,5.6486,28.5900,0.69023,0.02307,1,1
1.01047,5.6492,29.9699,0.0281,0.0717,0.1677,0.1677,0.1366,5.6500,28.6226,0.67406,0.02255,1,1
0.98627,5.6492,29.9699,0.0281,0.0717,0.1775,0.1775,0.1171,5.6501,28.5675,0.70162,0.02347,1,1
1.00203,5.6492,29.9699,0.0281,0.0717,0.1711,0.1711,0.1298,5.6502,28.6025,0.68419,0.02290,1,1
1.00084,5.6492,29.9699,0.0281,0.0717,0.1716,0.1716,0.1287,5.6505,28.6006,0.68528,0.02296,1,1
1.00864,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6503,28.6189,0.67605,0.02264,1,1
1.01261,5.6492,29.9699,0.0281,0.0717,0.1669,0.1669,0.1382,5.6504,28.6291,0.67097,0.02247,1,1
0.99726,5.6492,29.9699,0.0281,0.0717,0.1730,0.1730,0.1261,5.6498,28.5902,0.69012,0.02307,1,1
1.01411,5.6492,29.9699,0.0281,0.0717,0.1664,0.1664,0.1393,5.6508,28.6342,0.66863,0.02243,1,1
1.00492,5.6492,29.9699,0.0281,0.0717,0.1701,0.1701,0.1319,5.6508,28.6113,0.68010,0.02281,1,1
1.01246,5.6492,29.9699,0.0281,0.0717,0.1669,0.1669,0.1382,5.6500,28.6278,0.67146,0.02247,1,1
1.01441,5.6492,29.9699,0.0281,0.0717,0.1664,0.1664,0.1393,5.6515,28.6370,0.66758,0.02244,1,1
1.00610,5.6492,29.9699,0.0281,0.0717,0.1695,0.1695,0.1329,5.6505,28.6132,0.67899,0.02275,1,1
1.00803,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6489,28.6133,0.67843,0.02266,1,1
1.00036,5.6492,29.9699,0.0281,0.0717,0.1716,0.1716,0.1287,5.6494,28.5962,0.68695,0.02293,1,1
1.01568,5.6492,29.9699,0.0281,0.0717,0.1656,0.1656,0.1409,5.6499,28.6357,0.66743,0.02232,1,1
1.00364,5.6492,29.9699,0.0281,0.0717,0.1706,0.1706,0.1308,5.6509,28.6084,0.68159,0.02286,1,1
1.01657,5.6492,29.9699,0.0281,0.0717,0.1653,0.1653,0.1414,5.6504,28.6396,0.66575,0.02230,1,1
0.99198,5.6492,29.9699,0.0281,0.0717,0.1751,0.1751,0.1219,5.6497,28.5782,0.69607,0.02326,1,1
0.98558,5.6492,29.9699,0.0281,0.0717,0.1780,0.1780,0.1160,5.6515,28.5707,0.70076,0.02355,1,1
1.03307,5.6492,29.9699,0.0281,0.0717,0.1584,0.1584,0.1551,5.6489,28.6819,0.64411,0.02151,1,1
1.01187,5.6492,29.9699,0.0281,0.0717,0.1669,0.1669,0.1382,5.6487,28.6224,0.67401,0.02253,1,1
1.00308,5.6492,29.9699,0.0281,0.0717,0.1706,0.1706,0.1308,5.6496,28.6033,0.68352,0.02284,1,1
1.02139,5.6492,29.9699,0.0281,0.0717,0.1632,0.1632,0.1456,5.6494,28.6498,0.66017,0.02204,1,1
1.00505,5.6492,29.9699,0.0281,0.0717,0.1698,0.1698,0.1324,5.6496,28.6080,0.68116,0.02276,1,1
1.02389,5.6492,29.9699,0.0281,0.0717,0.1621,0.1621,0.1477,5.6491,28.6558,0.65711,0.02193,1,1
1.02813,5.6492,29.9699,0.0281,0.0717,0.1606,0.1606,0.1509,5.6497,28.6696,0.65041,0.02174,1,1
1.00791,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6486,28.6122,0.67910,0.02270,1,1
0.98578,5.6492,29.9699,0.0281,0.0717,0.1775,0.1775,0.1171,5.6489,28.5628,0.70369,0.02350,1,1
1.01384,5.6492,29.9699,0.0281,0.0717,0.1664,0.1664,0.1393,5.6502,28.6318,0.66956,0.02241,1,1
1.00338,5.6492,29.9699,0.0281,0.0717,0.1706,0.1706,0.1308,5.6503,28.6061,0.68247,0.02285,1,1
1.00287,5.6492,29.9699,0.0281,0.0717,0.1706,0.1706,0.1308,5.6491,28.6013,0.68432,0.02284,1,1
1.01418,5.6492,29.9699,0.0281,0.0717,0.1664,0.1664,0.1393,5.6510,28.6349,0.66838,0.02243,1,1
1.00283,5.6492,29.9699,0.0281,0.0717,0.1706,0.1706,0.1308,5.6490,28.6009,0.68458,0.02286,1,1
1.01012,5.6492,29.9699,0.0281,0.0717,0.1679,0.1679,0.1361,5.6507,28.6237,0.67384,0.02259,1,1
0.99733,5.6492,29.9699,0.0281,0.0717,0.1730,0.1730,0.1261,5.6499,28.5909,0.68987,0.02307,1,1
1.00108,5.6492,29.9699,0.0281,0.0717,0.1716,0.1716,0.1287,5.6510,28.6028,0.68445,0.02297,1,1
1.01638,5.6492,29.9699,0.0281,0.0717,0.1653,0.1653,0.1414,5.6500,28.6379,0.66640,0.02229,1,1
1.00546,5.6492,29.9699,0.0281,0.0717,0.1695,0.1695,0.1329,5.6490,28.6074,0.68135,0.02275,1,1
1.00333,5.6492,29.9699,0.0281,0.0717,0.1706,0.1706,0.1308,5.6502,28.6056,0.68264,0.02285,1,1
1.00510,5.6492,29.9699,0.0281,0.0717,0.1698,0.1698,0.1324,5.6497,28.6085,0.68096,0.02276,1,1
1.00512,5.6492,29.9699,0.0281,0.0717,0.1698,0.1698,0.1324,5.6498,28.6086,0.68092,0.02276,1,1
1.01390,5.6492,29.9699,0.0281,0.0717,0.1664,0.1664,0.1393,5.6503,28.6323,0.66935,0.02241,1,1
0.99553,5.6492,29.9699,0.0281,0.0717,0.1738,0.1738,0.1245,5.6503,28.5880,0.69150,0.02315,1,1
1.01773,5.6492,29.9699,0.0281,0.0717,0.1648,0.1648,0.1424,5.6501,28.6417,0.66455,0.02223,1,1
1.01506,5.6492,29.9699,0.0281,0.0717,0.1658,0.1658,0.1403,5.6500,28.6343,0.66817,0.02235,1,1
1.01724,5.6492,29.9699,0.0281,0.0717,0.1648,0.1648,0.1424,5.6489,28.6372,0.66649,0.02226,1,1
1.00525,5.6492,29.9699,0.0281,0.0717,0.1695,0.1695,0.1329,5.6486,28.6054,0.68255,0.02282,1,1
1.02231,5.6492,29.9699,0.0281,0.0717,0.1627,0.1627,0.1467,5.6485,28.6498,0.66041,0.02209,1,1
1.00666,5.6492,29.9699,0.0281,0.0717,0.1690,0.1690,0.1340,5.6488,28.6095,0.68041,0.02273,1,1
0.99353,5.6492,29.9699,0.0281,0.0717,0.1743,0.1743,0.1234,5.6487,28.5786,0.69589,0.02326,1,1
1.00830,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6495,28.6158,0.67723,0.02262,1,1
1.01190,5.6492,29.9699,0.0281,0.0717,0.1669,0.1669,0.1382,5.6488,28.6227,0.67383,0.02252,1,1
0.99750,5.6492,29.9699,0.0281,0.0717,0.1727,0.1727,0.1266,5.6488,28.5878,0.69123,0.02309,1,1
1.01847,5.6492,29.9699,0.0281,0.0717,0.1642,0.1642,0.1435,5.6487,28.6400,0.66519,0.02223,1,1
1.01583,5.6492,29.9699,0.0281,0.0717,0.1653,0.1653,0.1414,5.6487,28.6329,0.66875,0.02235,1,1
0.98380,5.6492,29.9699,0.0281,0.0717,0.1785,0.1785,0.1150,5.6504,28.5635,0.70376,0.02357,1,1
1.01157,5.6492,29.9699,0.0281,0.0717,0.1674,0.1674,0.1372,5.6510,28.6283,0.67169,0.02254,1,1
1.01202,5.6492,29.9699,0.0281,0.0717,0.1669,0.1669,0.1382,5.6490,28.6238,0.67312,0.02247,1,1
1.00453,5.6492,29.9699,0.0281,0.0717,0.1701,0.1701,0.1319,5.6499,28.6077,0.68148,0.02279,1,1
0.99264,5.6492,29.9699,0.0281,0.0717,0.1748,0.1748,0.1224,5.6497,28.5796,0.69536,0.02324,1,1
1.00947,5.6492,29.9699,0.0281,0.0717,0.1679,0.1679,0.1361,5.6492,28.6178,0.67608,0.02256,1,1
1.00933,5.6492,29.9699,0.0281,0.0717,0.1679,0.1679,0.1361,5.6489,28.6165,0.67683,0.02261,1,1
1.00856,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6501,28.6182,0.67633,0.02263,1,1
0.98852,5.6492,29.9699,0.0281,0.0717,0.1764,0.1764,0.1192,5.6492,28.5695,0.70021,0.02336,1,1
1.00001,5.6492,29.9699,0.0281,0.0717,0.1716,0.1716,0.1287,5.6485,28.5928,0.68885,0.02303,1,1
1.00101,5.6492,29.9699,0.0281,0.0717,0.1716,0.1716,0.1287,5.6509,28.6022,0.68470,0.02297,1,1
0.99688,5.6492,29.9699,0.0281,0.0717,0.1732,0.1732,0.1255,5.6504,28.5913,0.68991,0.02311,1,1
1.01367,5.6492,29.9699,0.0281,0.0717,0.1664,0.1664,0.1393,5.6498,28.6302,0.67013,0.02240,1,1
1.01545,5.6492,29.9699,0.0281,0.0717,0.1656,0.1656,0.1409,5.6493,28.6336,0.66822,0.02231,1,1
1.00590,5.6492,29.9699,0.0281,0.0717,0.1695,0.1695,0.1329,5.6500,28.6114,0.67969,0.02274,1,1
0.99309,5.6492,29.9699,0.0281,0.0717,0.1748,0.1748,0.1224,5.6507,28.5839,0.69376,0.02326,1,1
0.99949,5.6492,29.9699,0.0281,0.0717,0.1722,0.1722,0.1277,5.6504,28.5972,0.68696,0.02301,1,1
0.98233,5.6492,29.9699,0.0281,0.0717,0.1790,0.1790,0.1139,5.6500,28.5594,0.70562,0.02360,1,1
1.01690,5.6492,29.9699,0.0281,0.0717,0.1653,0.1653,0.1414,5.6512,28.6426,0.66463,0.02232,1,1
1.00820,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6493,28.6149,0.67756,0.02262,1,1
1.00543,5.6492,29.9699,0.0281,0.0717,0.1695,0.1695,0.1329,5.6490,28.6071,0.68151,0.02276,1,1
0.99751,5.6492,29.9699,0.0281,0.0717,0.1727,0.1727,0.1266,5.6488,28.5880,0.69115,0.02309,1,1
1.00791,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6486,28.6122,0.67911,0.02270,1,1
1.00810,5.6492,29.9699,0.0281,0.0717,0.1685,0.1685,0.1351,5.6491,28.6139,0.67804,0.02263,1,1
1.01862,5.6492,29.9699,0.0281,0.0717,0.1642,0.1642,0.1435,5.6491,28.6414,0.66432,0.02217,1,1
1.01482,5.6492,29.9699,0.0281,0.0717,0.1658,0.1658,0.1403,5.6494,28.6322,0.66898,0.02234,1,1
1.01480,5.6492,29.9699,0.0281,0.0717,0.1658,0.1658,0.1403,5.6494,28.6320,0.66905,0.02234,1,1
1.01464,5.6492,29.9699,0.0281,0.0717,0.1658,0.1658,0.1403,5.6490,28.6305,0.66979,0.02236,1,1
1.01499,5.6492,29.9699,0.0281,0.0717,0.1658,0.1658,0.1403,5.6498,28.6337,0.66840,0.02235,1,1